07th October 2023,Augsburg v Darmstadt 98,1.87,4.70,3.90,2.78,3.95,2.52,0,3,15,2,6,24,0-0
07th October 2023,RB Leipzig v Bochum,1.28,12.50,7.00,1.50,11.0,4.00,2,4,41,1,2,8,0-0
07th October 2023,Stuttgart v Wolfsburg,1.92,4.30,3.95,5.40,1.81,3.65,1,0,23,3,1,18,0-1
